entity:participant_id	mutation	mutSynthExomeBam	mutSynthExomeBamIndex	mutSynthExomeGvcf	mutSynthExomeGvcfIndex	originalCallsVcf	originalCallsVcfIndex	population	role	synthExomeBam	synthExomeBamIndex	synthExomeTruthVcf	synthExomeTruthVcfIndex
HG00096	gs://firecloud-workshops/181017-ashg18/variants/neutral/m_2_120776717_A.txt	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG00096.synthetic.exome.mutated.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG00096.synthetic.exome.mutated.bai	gs://firecloud-workshops/181017-ashg18/gvcfs/HG00096.synthetic.exome.mutated.g.vcf.gz	gs://firecloud-workshops/181017-ashg18/gvcfs/HG00096.synthetic.exome.mutated.g.vcf.gz.tbi	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG00096.phase3.vcf	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG00096.phase3.vcf.idx	GBR	neutral	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG00096.synthetic.exome.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG00096.synthetic.exome.bai	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG00096.synthetic.exome.truth.vcf	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG00096.synthetic.exome.truth.vcf.idx
HG00097	gs://firecloud-workshops/181017-ashg18/variants/neutral/m_2_120776717_A.txt	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG00097.synthetic.exome.mutated.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG00097.synthetic.exome.mutated.bai	gs://firecloud-workshops/181017-ashg18/gvcfs/HG00097.synthetic.exome.mutated.g.vcf.gz	gs://firecloud-workshops/181017-ashg18/gvcfs/HG00097.synthetic.exome.mutated.g.vcf.gz.tbi	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG00097.phase3.vcf	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG00097.phase3.vcf.idx	GBR	neutral	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG00097.synthetic.exome.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG00097.synthetic.exome.bai	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG00097.synthetic.exome.truth.vcf	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG00097.synthetic.exome.truth.vcf.idx
HG00128	gs://firecloud-workshops/181017-ashg18/variants/neutral/m_2_120776717_A.txt	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG00128.synthetic.exome.mutated.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG00128.synthetic.exome.mutated.bai	gs://firecloud-workshops/181017-ashg18/gvcfs/HG00128.synthetic.exome.mutated.g.vcf.gz	gs://firecloud-workshops/181017-ashg18/gvcfs/HG00128.synthetic.exome.mutated.g.vcf.gz.tbi	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG00128.phase3.vcf	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG00128.phase3.vcf.idx	GBR	neutral	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG00128.synthetic.exome.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG00128.synthetic.exome.bai	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG00128.synthetic.exome.truth.vcf	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG00128.synthetic.exome.truth.vcf.idx
HG00131	gs://firecloud-workshops/181017-ashg18/variants/neutral/m_2_120776717_A.txt	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG00131.synthetic.exome.mutated.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG00131.synthetic.exome.mutated.bai	gs://firecloud-workshops/181017-ashg18/gvcfs/HG00131.synthetic.exome.mutated.g.vcf.gz	gs://firecloud-workshops/181017-ashg18/gvcfs/HG00131.synthetic.exome.mutated.g.vcf.gz.tbi	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG00131.phase3.vcf	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG00131.phase3.vcf.idx	GBR	neutral	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG00131.synthetic.exome.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG00131.synthetic.exome.bai	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG00131.synthetic.exome.truth.vcf	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG00131.synthetic.exome.truth.vcf.idx
HG00142	gs://firecloud-workshops/181017-ashg18/variants/neutral/m_2_120776717_A.txt	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG00142.synthetic.exome.mutated.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG00142.synthetic.exome.mutated.bai	gs://firecloud-workshops/181017-ashg18/gvcfs/HG00142.synthetic.exome.mutated.g.vcf.gz	gs://firecloud-workshops/181017-ashg18/gvcfs/HG00142.synthetic.exome.mutated.g.vcf.gz.tbi	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG00142.phase3.vcf	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG00142.phase3.vcf.idx	GBR	neutral	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG00142.synthetic.exome.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG00142.synthetic.exome.bai	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG00142.synthetic.exome.truth.vcf	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG00142.synthetic.exome.truth.vcf.idx
HG00143	gs://firecloud-workshops/181017-ashg18/variants/neutral/m_2_120776717_A.txt	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG00143.synthetic.exome.mutated.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG00143.synthetic.exome.mutated.bai	gs://firecloud-workshops/181017-ashg18/gvcfs/HG00143.synthetic.exome.mutated.g.vcf.gz	gs://firecloud-workshops/181017-ashg18/gvcfs/HG00143.synthetic.exome.mutated.g.vcf.gz.tbi	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG00143.phase3.vcf	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG00143.phase3.vcf.idx	GBR	neutral	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG00143.synthetic.exome.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG00143.synthetic.exome.bai	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG00143.synthetic.exome.truth.vcf	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG00143.synthetic.exome.truth.vcf.idx
HG00155	gs://firecloud-workshops/181017-ashg18/variants/case-notch1/m_9_139418415_T.txt	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG00155.synthetic.exome.mutated.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG00155.synthetic.exome.mutated.bai	gs://firecloud-workshops/181017-ashg18/gvcfs/HG00155.synthetic.exome.mutated.g.vcf.gz	gs://firecloud-workshops/181017-ashg18/gvcfs/HG00155.synthetic.exome.mutated.g.vcf.gz.tbi	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG00155.phase3.vcf	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG00155.phase3.vcf.idx	GBR	case	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG00155.synthetic.exome.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG00155.synthetic.exome.bai	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG00155.synthetic.exome.truth.vcf	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG00155.synthetic.exome.truth.vcf.idx
HG00231	gs://firecloud-workshops/181017-ashg18/variants/neutral/m_2_120776717_A.txt	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG00231.synthetic.exome.mutated.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG00231.synthetic.exome.mutated.bai	gs://firecloud-workshops/181017-ashg18/gvcfs/HG00231.synthetic.exome.mutated.g.vcf.gz	gs://firecloud-workshops/181017-ashg18/gvcfs/HG00231.synthetic.exome.mutated.g.vcf.gz.tbi	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG00231.phase3.vcf	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG00231.phase3.vcf.idx	GBR	neutral	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG00231.synthetic.exome.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG00231.synthetic.exome.bai	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG00231.synthetic.exome.truth.vcf	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG00231.synthetic.exome.truth.vcf.idx
HG00737	gs://firecloud-workshops/181017-ashg18/variants/neutral/m_2_120776717_A.txt	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG00737.synthetic.exome.mutated.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG00737.synthetic.exome.mutated.bai	gs://firecloud-workshops/181017-ashg18/gvcfs/HG00737.synthetic.exome.mutated.g.vcf.gz	gs://firecloud-workshops/181017-ashg18/gvcfs/HG00737.synthetic.exome.mutated.g.vcf.gz.tbi	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG00737.phase3.vcf	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG00737.phase3.vcf.idx	PUR	neutral	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG00737.synthetic.exome.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG00737.synthetic.exome.bai	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG00737.synthetic.exome.truth.vcf	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG00737.synthetic.exome.truth.vcf.idx
HG01066	gs://firecloud-workshops/181017-ashg18/variants/neutral/m_2_120776717_A.txt	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG01066.synthetic.exome.mutated.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG01066.synthetic.exome.mutated.bai	gs://firecloud-workshops/181017-ashg18/gvcfs/HG01066.synthetic.exome.mutated.g.vcf.gz	gs://firecloud-workshops/181017-ashg18/gvcfs/HG01066.synthetic.exome.mutated.g.vcf.gz.tbi	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG01066.phase3.vcf	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG01066.phase3.vcf.idx	PUR	neutral	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG01066.synthetic.exome.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG01066.synthetic.exome.bai	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG01066.synthetic.exome.truth.vcf	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG01066.synthetic.exome.truth.vcf.idx
HG01124	gs://firecloud-workshops/181017-ashg18/variants/neutral/m_2_120776717_A.txt	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG01124.synthetic.exome.mutated.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG01124.synthetic.exome.mutated.bai	gs://firecloud-workshops/181017-ashg18/gvcfs/HG01124.synthetic.exome.mutated.g.vcf.gz	gs://firecloud-workshops/181017-ashg18/gvcfs/HG01124.synthetic.exome.mutated.g.vcf.gz.tbi	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG01124.phase3.vcf	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG01124.phase3.vcf.idx	CLM	neutral	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG01124.synthetic.exome.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG01124.synthetic.exome.bai	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG01124.synthetic.exome.truth.vcf	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG01124.synthetic.exome.truth.vcf.idx
HG01125	gs://firecloud-workshops/181017-ashg18/variants/neutral/m_2_120776717_A.txt	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG01125.synthetic.exome.mutated.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG01125.synthetic.exome.mutated.bai	gs://firecloud-workshops/181017-ashg18/gvcfs/HG01125.synthetic.exome.mutated.g.vcf.gz	gs://firecloud-workshops/181017-ashg18/gvcfs/HG01125.synthetic.exome.mutated.g.vcf.gz.tbi	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG01125.phase3.vcf	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG01125.phase3.vcf.idx	CLM	neutral	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG01125.synthetic.exome.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG01125.synthetic.exome.bai	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG01125.synthetic.exome.truth.vcf	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG01125.synthetic.exome.truth.vcf.idx
HG01197	gs://firecloud-workshops/181017-ashg18/variants/neutral/m_2_120776717_A.txt	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG01197.synthetic.exome.mutated.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG01197.synthetic.exome.mutated.bai	gs://firecloud-workshops/181017-ashg18/gvcfs/HG01197.synthetic.exome.mutated.g.vcf.gz	gs://firecloud-workshops/181017-ashg18/gvcfs/HG01197.synthetic.exome.mutated.g.vcf.gz.tbi	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG01197.phase3.vcf	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG01197.phase3.vcf.idx	PUR	neutral	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG01197.synthetic.exome.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG01197.synthetic.exome.bai	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG01197.synthetic.exome.truth.vcf	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG01197.synthetic.exome.truth.vcf.idx
HG01275	gs://firecloud-workshops/181017-ashg18/variants/neutral/m_2_120776717_A.txt	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG01275.synthetic.exome.mutated.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG01275.synthetic.exome.mutated.bai	gs://firecloud-workshops/181017-ashg18/gvcfs/HG01275.synthetic.exome.mutated.g.vcf.gz	gs://firecloud-workshops/181017-ashg18/gvcfs/HG01275.synthetic.exome.mutated.g.vcf.gz.tbi	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG01275.phase3.vcf	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG01275.phase3.vcf.idx	CLM	neutral	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG01275.synthetic.exome.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG01275.synthetic.exome.bai	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG01275.synthetic.exome.truth.vcf	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG01275.synthetic.exome.truth.vcf.idx
HG01326	gs://firecloud-workshops/181017-ashg18/variants/neutral/m_2_120776717_A.txt	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG01326.synthetic.exome.mutated.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG01326.synthetic.exome.mutated.bai	gs://firecloud-workshops/181017-ashg18/gvcfs/HG01326.synthetic.exome.mutated.g.vcf.gz	gs://firecloud-workshops/181017-ashg18/gvcfs/HG01326.synthetic.exome.mutated.g.vcf.gz.tbi	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG01326.phase3.vcf	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG01326.phase3.vcf.idx	PUR	neutral	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG01326.synthetic.exome.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG01326.synthetic.exome.bai	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG01326.synthetic.exome.truth.vcf	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG01326.synthetic.exome.truth.vcf.idx
HG01372	gs://firecloud-workshops/181017-ashg18/variants/neutral/m_2_120776717_A.txt	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG01372.synthetic.exome.mutated.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG01372.synthetic.exome.mutated.bai	gs://firecloud-workshops/181017-ashg18/gvcfs/HG01372.synthetic.exome.mutated.g.vcf.gz	gs://firecloud-workshops/181017-ashg18/gvcfs/HG01372.synthetic.exome.mutated.g.vcf.gz.tbi	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG01372.phase3.vcf	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG01372.phase3.vcf.idx	CLM	neutral	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG01372.synthetic.exome.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG01372.synthetic.exome.bai	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG01372.synthetic.exome.truth.vcf	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG01372.synthetic.exome.truth.vcf.idx
HG01395	gs://firecloud-workshops/181017-ashg18/variants/neutral/m_2_120776717_A.txt	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG01395.synthetic.exome.mutated.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG01395.synthetic.exome.mutated.bai	gs://firecloud-workshops/181017-ashg18/gvcfs/HG01395.synthetic.exome.mutated.g.vcf.gz	gs://firecloud-workshops/181017-ashg18/gvcfs/HG01395.synthetic.exome.mutated.g.vcf.gz.tbi	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG01395.phase3.vcf	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG01395.phase3.vcf.idx	PUR	neutral	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG01395.synthetic.exome.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG01395.synthetic.exome.bai	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG01395.synthetic.exome.truth.vcf	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG01395.synthetic.exome.truth.vcf.idx
HG01403	gs://firecloud-workshops/181017-ashg18/variants/neutral/m_2_120776717_A.txt	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG01403.synthetic.exome.mutated.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG01403.synthetic.exome.mutated.bai	gs://firecloud-workshops/181017-ashg18/gvcfs/HG01403.synthetic.exome.mutated.g.vcf.gz	gs://firecloud-workshops/181017-ashg18/gvcfs/HG01403.synthetic.exome.mutated.g.vcf.gz.tbi	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG01403.phase3.vcf	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG01403.phase3.vcf.idx	PUR	neutral	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG01403.synthetic.exome.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG01403.synthetic.exome.bai	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG01403.synthetic.exome.truth.vcf	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG01403.synthetic.exome.truth.vcf.idx
HG01431	gs://firecloud-workshops/181017-ashg18/variants/neutral/m_2_120776717_A.txt	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG01431.synthetic.exome.mutated.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes-mutated/HG01431.synthetic.exome.mutated.bai	gs://firecloud-workshops/181017-ashg18/gvcfs/HG01431.synthetic.exome.mutated.g.vcf.gz	gs://firecloud-workshops/181017-ashg18/gvcfs/HG01431.synthetic.exome.mutated.g.vcf.gz.tbi	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG01431.phase3.vcf	gs://firecloud-workshops/181017-ashg18/1000G-vcfs/HG01431.phase3.vcf.idx	CLM	neutral	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG01431.synthetic.exome.bam	gs://firecloud-workshops/181017-ashg18/synthetic-exomes/HG01431.synthetic.exome.bai	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG01431.synthetic.exome.truth.vcf	gs://firecloud-workshops/181017-ashg18/truth-vcfs/HG01431.synthetic.exome.truth.vcf.idx
